spectrum_path,valid_fraction
DeMeo2009data_gp/a000278.sp14.txt,0.9900
DeMeo2009data_gp/a000349.sp06.txt,0.9900
DeMeo2009data_gp/a000456.sp15.txt,0.9900
DeMeo2009data_gp/a000485.sp10.txt,0.9900
DeMeo2009data_gp/a000512.sp32.txt,0.9900
DeMeo2009data_gp/a000670.sp18.txt,0.9900
DeMeo2009data_gp/a000688.sp18.txt,0.9900
DeMeo2009data_gp/a000719.sp08.txt,0.9900
DeMeo2009data_gp/a000739.sp18.txt,0.9900
DeMeo2009data_gp/a000908.sp53.txt,0.9900
DeMeo2009data_gp/a000984.sp18.txt,0.9900
DeMeo2009data_gp/a001036.sp37.txt,0.9900
DeMeo2009data_gp/a001300.sp55.txt,0.9900
DeMeo2009data_gp/a001471.sp45.txt,0.9900
DeMeo2009data_gp/a001565.sp36.txt,0.9900
DeMeo2009data_gp/a001839.sp05.txt,0.9900
DeMeo2009data_gp/a001862.sp47.txt,0.9900
DeMeo2009data_gp/a001864.sp05.txt,0.9900
DeMeo2009data_gp/a001903.sp21.txt,0.9900
DeMeo2009data_gp/a001904.sp01.txt,0.9900
DeMeo2009data_gp/a002042.sp08.txt,0.9900
DeMeo2009data_gp/a002085.sp12.txt,0.9900
DeMeo2009data_gp/a002715.sp07.txt,0.9900
DeMeo2009data_gp/a003103.sp06.txt,0.9900
DeMeo2009data_gp/a003844.sp22.txt,0.9900
DeMeo2009data_gp/a004179.sp30.txt,0.9900
DeMeo2009data_gp/a004352.sp15.txt,0.9900
DeMeo2009data_gp/a004417.sp08.txt,0.9900
DeMeo2009data_gp/a004713.sp12.txt,0.9900
DeMeo2009data_gp/a005660.sp43.txt,0.9900
DeMeo2009data_gp/a005685.sp05.txt,0.9900
DeMeo2009data_gp/a086819.sp02.txt,0.9900
Binzel2019data_gp/a030825.visnir.txt,0.9900
Binzel2019data_gp/a087684.visnir.txt,0.9900
Binzel2019data_gp/a088710.visnir.txt,0.9900
Binzel2019data_gp/a141018.visnir.txt,0.9900
Binzel2019data_gp/a155334.visnir.txt,0.9900
Binzel2019data_gp/a163249.visnir.txt,0.9900
Binzel2019data_gp/a214869.visnir.txt,0.9900
Binzel2019data_gp/a217807.visnir.txt,0.9900
DeMeo2009data_gp/a003628.sp50.txt,0.9925
Binzel2019data_gp/a007889.visnir.txt,0.9925
Binzel2019data_gp/a365424.visnir.txt,0.9925
DeMeo2009data_gp/a002873.sp09.txt,0.9950
DeMeo2009data_gp/a003635.sp47.txt,0.9950
DeMeo2009data_gp/a003903.sp17.txt,0.9950
DeMeo2009data_gp/a004188.sp07.txt,0.9950
Binzel2019data_gp/a008567.visnir.txt,0.9950
Binzel2019data_gp/a341843.visnir.txt,0.9950
DeMeo2009data_gp/a003753.sp45.txt,0.9975
Binzel2019data_gp/a088188.visnir.txt,0.9975
DeMeo2009data_gp/a000002.sp05.txt,1.0000
DeMeo2009data_gp/a000004.sp02.txt,1.0000
DeMeo2009data_gp/a000016.sp02.txt,1.0000
DeMeo2009data_gp/a000017.sp07.txt,1.0000
DeMeo2009data_gp/a000020.sp06.txt,1.0000
DeMeo2009data_gp/a000022.sp55.txt,1.0000
DeMeo2009data_gp/a000024.sp45.txt,1.0000
DeMeo2009data_gp/a000037.sp07.txt,1.0000
